[2017-05-08 10:55:28,735: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-09 14:31:39,486: INFO/MainProcess] Received task: tasks.send_mail[b8ac7b55-dc84-4c9c-8215-d5d0bff7b96f]  
[2017-05-09 14:31:39,731: INFO/MainProcess] Received task: tasks.send_mail[2b4b796a-58cb-496d-889a-72a88c7dae80]  
[2017-05-09 14:31:39,941: INFO/MainProcess] Received task: tasks.send_mail[f99ede1a-b51a-4227-8aa4-2bc731b4015d]  
[2017-05-09 14:31:40,036: INFO/MainProcess] Received task: tasks.send_mail[6ab5666f-eb3b-465e-8bfd-65985ec0486a]  
[2017-05-09 14:31:40,121: INFO/MainProcess] Received task: tasks.send_mail[1b2e1e56-60fe-4679-b1ce-a98ebaff6660]  
[2017-05-09 14:31:40,208: INFO/MainProcess] Received task: tasks.send_mail[26102223-56d5-4f77-942f-f619da2ec237]  
[2017-05-09 14:31:40,298: INFO/MainProcess] Received task: tasks.send_mail[8cf7fb46-f470-4a5d-a433-f237a3d0548f]  
[2017-05-09 14:31:40,388: INFO/MainProcess] Received task: tasks.send_mail[c5647edd-172f-427b-b733-3f8b0048007d]  
[2017-05-09 14:31:40,477: INFO/MainProcess] Received task: tasks.send_mail[419453f6-8b0e-4948-95b0-b5a4bc970660]  
[2017-05-09 14:31:40,565: INFO/MainProcess] Received task: tasks.send_mail[9684bfbe-1d68-4f9b-a43a-09cf11f2e252]  
[2017-05-09 14:31:40,654: INFO/MainProcess] Received task: tasks.send_mail[4ffdca94-01da-4139-b2e9-e0b8db86f588]  
[2017-05-09 14:31:40,743: INFO/MainProcess] Received task: tasks.send_mail[14dae5a7-7516-4ba1-85fa-b752877f81c6]  
[2017-05-09 14:31:40,832: INFO/MainProcess] Received task: tasks.send_mail[2c3259ed-325e-4873-a8b5-2f8c11177e45]  
[2017-05-09 14:31:40,921: INFO/MainProcess] Received task: tasks.send_mail[92637110-9ed5-4eea-96fb-da6272642638]  
[2017-05-09 14:31:41,007: INFO/MainProcess] Received task: tasks.send_mail[9e3b07ee-5f43-4856-a4c0-7edf6ffdfa04]  
[2017-05-09 14:31:41,098: INFO/MainProcess] Received task: tasks.send_mail[408355a7-25ad-4ea3-a3e3-bcc69cc75326]  
[2017-05-09 14:31:41,185: INFO/MainProcess] Received task: tasks.send_mail[69da0c26-aa7d-4ee6-9dfc-6ea11d9bed01]  
[2017-05-09 14:31:41,277: INFO/MainProcess] Received task: tasks.send_mail[2d74a228-778d-41d0-8a9d-552f961aa528]  
[2017-05-09 14:31:41,366: INFO/MainProcess] Received task: tasks.send_mail[560e53b6-b11e-4735-b470-07cb360c470e]  
[2017-05-09 14:31:41,453: INFO/MainProcess] Received task: tasks.send_mail[9e387618-922e-48cc-8df9-2cfa97d73a34]  
[2017-05-09 14:31:41,543: INFO/MainProcess] Received task: tasks.send_mail[e39e65e9-1a62-48c1-b500-58105f007ea9]  
[2017-05-09 14:31:41,630: INFO/MainProcess] Received task: tasks.send_mail[81606199-0a87-4037-b2c1-968ac98521fb]  
[2017-05-09 14:31:41,721: INFO/MainProcess] Received task: tasks.send_mail[9007db6f-7e9d-4cc8-93c8-d4180b15e0c6]  
[2017-05-09 14:31:41,811: INFO/MainProcess] Received task: tasks.send_mail[62ba671f-9834-47b3-9bf3-42898f54c095]  
[2017-05-09 14:31:41,899: INFO/MainProcess] Received task: tasks.send_mail[bfe27f9b-1d57-4ff9-abbe-da20b0583de6]  
[2017-05-09 14:31:41,987: INFO/MainProcess] Received task: tasks.send_mail[1a50c4cf-68fb-4346-95ab-8ca52dd582d4]  
[2017-05-09 14:31:42,076: INFO/MainProcess] Received task: tasks.send_mail[2301f359-4021-419e-a337-b80dd10210e8]  
[2017-05-09 14:31:42,198: INFO/MainProcess] Received task: tasks.send_mail[5a4a77f8-247e-4180-9cf2-fea5796e56ca]  
[2017-05-09 14:31:42,288: INFO/MainProcess] Received task: tasks.send_mail[03cce5e4-7df4-4ad3-8e0a-5cfee59683ed]  
[2017-05-09 14:31:42,378: INFO/MainProcess] Received task: tasks.send_mail[f1db857d-769b-415f-9a83-6281bfdd0760]  
[2017-05-09 14:31:42,466: INFO/MainProcess] Received task: tasks.send_mail[5973b1b5-4d69-49af-af72-676d5c58039e]  
[2017-05-09 14:31:42,554: INFO/MainProcess] Received task: tasks.send_mail[06b23d21-966d-4629-b7da-daad746d5d3b]  
[2017-05-09 14:31:42,643: INFO/MainProcess] Received task: tasks.send_mail[86e083b1-2573-46cd-84c3-c6be7b529370]  
[2017-05-09 14:31:42,732: INFO/MainProcess] Received task: tasks.send_mail[8a9701b5-f365-479a-88f2-aaba9275632d]  
[2017-05-09 14:31:42,822: INFO/MainProcess] Received task: tasks.send_mail[a8aa144a-6cd6-4a5e-9fc2-73c2d23b38ed]  
[2017-05-09 14:31:42,908: INFO/MainProcess] Received task: tasks.send_mail[f3424fb3-4056-4d1d-a6cd-ad8bbd1b6897]  
[2017-05-09 14:31:42,999: INFO/MainProcess] Received task: tasks.send_mail[539925c3-4aa4-4512-807c-75012b17c339]  
[2017-05-09 14:31:43,087: INFO/MainProcess] Received task: tasks.send_mail[ea2c0a7e-2d0d-4a89-a23c-1391c833dbf6]  
[2017-05-09 14:31:43,178: INFO/MainProcess] Received task: tasks.send_mail[6cfb4ad9-f051-4252-8f0b-f458838c9d03]  
[2017-05-09 14:31:43,311: INFO/MainProcess] Received task: tasks.send_mail[04f3e00d-8b24-403b-86c6-aa88728354d3]  
[2017-05-09 14:31:43,397: INFO/MainProcess] Received task: tasks.send_mail[c056cae2-2136-4a8c-80f3-35c8368bc5c4]  
[2017-05-09 14:31:43,490: INFO/MainProcess] Received task: tasks.send_mail[ba39b2eb-2270-40c6-9ec0-190687fa4d96]  
[2017-05-09 14:31:43,524: INFO/MainProcess] Received task: tasks.send_mail[188e4344-5cc1-49f4-a661-c4eea5b059e1]  
[2017-05-09 14:31:43,667: INFO/MainProcess] Received task: tasks.send_mail[54c0f1ba-98c0-4e49-a49a-a759e4d14eae]  
[2017-05-09 14:31:43,844: INFO/MainProcess] Received task: tasks.send_mail[144aca61-cf74-4c76-8df9-4dd7e79fe2aa]  
[2017-05-09 14:31:44,053: INFO/MainProcess] Received task: tasks.send_mail[70f45066-3923-4b87-a191-8fad882bd9a4]  
[2017-05-09 14:31:44,065: INFO/MainProcess] Received task: tasks.send_mail[72cdd91e-e0bb-4d06-9ef7-a823505e2689]  
[2017-05-09 14:31:44,289: INFO/MainProcess] Received task: tasks.send_mail[14a39d20-3a53-4520-9f6f-d37281c6daaf]  
[2017-05-09 14:31:44,378: INFO/MainProcess] Received task: tasks.send_mail[84d85f15-ded8-4cf1-bd9d-be2b3c617111]  
[2017-05-09 14:31:44,467: INFO/MainProcess] Received task: tasks.send_mail[a5c2ccc8-e78c-47fe-8b60-132bb1981c15]  
[2017-05-09 14:31:44,556: INFO/MainProcess] Received task: tasks.send_mail[5f7e548d-458f-4954-9a91-be0f14aba20e]  
[2017-05-09 14:31:44,645: INFO/MainProcess] Received task: tasks.send_mail[35bf1b43-6498-464c-b6b6-37cd6a2f8a15]  
[2017-05-09 14:31:44,753: INFO/MainProcess] Received task: tasks.send_mail[259f4bcc-a0ad-4c9e-97f5-1c14834dc834]  
[2017-05-09 14:31:44,844: INFO/MainProcess] Received task: tasks.send_mail[7ad207f2-9388-44d7-b7f2-3e2961642b10]  
[2017-05-09 14:31:45,033: INFO/MainProcess] Received task: tasks.send_mail[76eefda3-0dfa-45e2-9c02-ff2ced1990e6]  
[2017-05-09 14:31:45,122: INFO/MainProcess] Received task: tasks.send_mail[df376242-9a23-4aa0-aa40-7b22627b5241]  
[2017-05-09 14:31:45,209: INFO/MainProcess] Received task: tasks.send_mail[e37d18f1-8330-4115-b7ca-c81003493076]  
[2017-05-09 14:31:45,300: INFO/MainProcess] Received task: tasks.send_mail[8a093874-cc2e-4a02-a64a-108300115467]  
[2017-05-09 14:31:45,378: INFO/MainProcess] Received task: tasks.send_mail[85b4926c-0fb2-4e03-bb78-9985997dcc7c]  
[2017-05-09 14:31:45,454: INFO/MainProcess] Received task: tasks.send_mail[e88d0b12-2c16-4a5a-8a15-78b86d98253d]  
[2017-05-09 14:31:45,545: INFO/MainProcess] Received task: tasks.send_mail[fa253236-ea9b-4a28-9dd5-00ba1fb159b0]  
[2017-05-09 14:31:45,634: INFO/MainProcess] Received task: tasks.send_mail[0817395d-0d4e-4256-a563-b1c57e67c101]  
